
虱 | shī | louse; bug; parasite
梗 | gěng | stem of flower, branch of plant
麾 | huī | a pennant, flag, banner; to signal to
胤 | yìn | heir, successor; progeny, posterity
馥 | fù | fragrance, scent, aroma
髦 | máo | flowing hair of young child
璨 | càn | gems; luster of gems; lustrous
浣 | wǎn | to wash, to rinse
鼐 | nài | incense tripod
呗 | bài | final particle of assertion pathaka
腑 | fǔ | bowels, entrails, internal organs
吁 | xū | interjection 'Alas!'; to sigh
牒 | dié | documents, records; dispatch
狒 | fèi | baboon
痰 | tán | phlegm, mucus, spittle
剌 | là | slash, cut in two; contradict
剽 | piào | rob, plunder; slice off; fast
篡 | cuàn | usurp
沬 | mèi | dusk; Mei river; Zhou dynasty place-name; (Cant.) to go underwater, to dive
驭 | yù | drive, ride; manage, control
辇 | niǎn | a hand-cart; to transport by carriage
贮 | zhǔ | store, stockpile, hoard
妲 | dá | concubine of last ruler of the Shang dynasty
盥 | guàn | wash
莞 | wǎn | smiling; a kind of aquatic herb
阖 | hé | close; whole, entire; all; leaf
筏 | fá | raft
炖 | dùn | heat with fire; stew
纭 | yún | confused, in disorder; numerous
雩 | yú | offer sacrifice for rain
涧 | jiàn | brook, mountain stream
筐 | kuāng | bamboo basket or chest
藕 | ǒu | lotus root
垓 | gāi | border, boundary, frontier
垛 | duǒ | heap, pile; pile up, heap up
齁 | hóu | snore loudly; very, extremely
鐽 | dá | 
馅 | xiàn | pastry filling, stuffing
芮 | ruì | tiny, small; water's edge
菠 | bō | spinach and similar greens
绥 | suī | soothe, appease, pacify; carriage harness
躄 | bì | cripple, lame
谆 | zhūn | patient, earnest; earnestly
琅 | láng | a variety of white carnelian; pure
汨 | mì | Mi(luo) river in Hunan province where Qu Yuan drowned himself; to sink; used (erroneously) for U+6C69 汩
鲑 | guī | salmon; spheroides vermicularis
啜 | chuò | sip, suck up; sob, weep
晤 | wù | have interview with; meet
惬 | qiè | be satisfied, be comfortable
苞 | bāo | a variety of rush; firm, enduring; to burst forth
毗 | pí | help, assist; connect, adjoin
倏 | shū | hastily, suddenly, abruptly
哮 | xiāo | cough; pant; roar
伎 | jì | talent, skill, ability
杞 | qǐ | willow; medlar tree; a small feudal state (Qi)
歛 | liàn | draw back, fold back; collect
荃 | quán | aromatic herb; fine cloth
呷 | xiā | suck, swallow, drink
麴 | qú | yeast, leaven; surname
糜 | mí | rice gruel, congee; mashed
旳 | dì | 
绯 | fēi | scarlet, dark red, crimson; purpl
饯 | jiàn | farewell party; see off, send off
颦 | pín | frown, knit brows; with knitted
煇 | huī | weld, solder
荀 | xún | surname; ancient state; plant
悱 | fěi | to be desirous of speaking
鸾 | luán | fabulous bird
亩 | mǔ | Chinese land measure; fields
龊 | chuò | narrow, small; dirty
仞 | rèn | ancient unit of measure (8 feet); 'fathom'
愫 | sù | guileless, sincere, honest
灶 | zào | furnace; kitchen range
栩 | xǔ | species of oak; be glad, be pleased
浬 | lǐ | nautical mile
腼 | tiǎn | timid, shy, bashful
坍 | tān | collapse; landslide
嗖 | sōu | 
冽 | liè | cold and raw; pure, clear
偌 | ruò | thus, so, like, such
巿 | fú | revolve, make circuit, turn
蒨 | qiàn | lush vegetation, luxuriant growth
隋 | suí | Sui dynasty; surname
劾 | hé | examine into, impeach, charge
裱 | biǎo | to mount maps or scrolls to paste
蜃 | shèn | marine monster which can change its shape; water spouts; clams
蚌 | bàng | oysters, mussels; mother-of-pearl
吆 | yāo | bawl, yell, shout, cry out
毘 | pí | help, assist; connect, adjoin
鳍 | qí | fin
钏 | chuàn | bracelet, armlet
潦 | liáo | to flood; a puddle; without care
钵 | bō | earthenware basin; alms bowl (Sanskrit paatra)
嗙 | pǎng | boast
龈 | kěn | gums
柒 | qī | number seven
娼 | chāng | prostitute, harlot
脕 | wǎn | 
徛 | qì | to cross over
倔 | jué | stubborn, obstinate, intransigent; firm
唏 | xī | weep or sob; grieve
黴 | méi | mold, mildew; bacteria, fungi
碾 | niàn | roller, crush; roll
瞰 | kàn | watch, spy; overlook; look down
蝗 | huáng | kind of locust
魇 | yǎn | nightmare, bad dreams
譁 | huá | noise, uproar; clamor, hubbub
钿 | diàn | hairpin; gold inlaid work, filigree
悻 | xìng | anger, vexation; angry, indignant
螫 | zhē | poison; sting; poisonous insect
唧 | jī | chirping of insects; pump; (Cant.) a final particle
觑 | qù | peep at; watch, spy on
箩 | luó | bamboo basket
窠 | kē | nest; hole, indention; den
薏 | yì | seed of job's tears; lotus seed
踱 | duò | stroll, pace, walk slowly
浯 | wú | 
腆 | tiǎn | prosperous; good; protruding
烸 | hǎi | 
睫 | jié | eyelashes
谧 | mì | calm, quiet, still; cautious
舫 | fǎng | fancy boat, yacht
瘪 | piē | shrivelled up, dried up; vexed
晌 | shǎng | noon, midday; moment; unit land measurement equal to seven mou (U+755D 畝), or the area that can be sown in one day
埵 | duǒ | hardened dirt or clay; cluster
乒 | pīng | used with pong for ping pong
刽 | guì | amputate, cut off
娉 | pīng | beautiful, attractive, charming, graceful
捻 | niǎn | to twist or nip with the fingers
谟 | mó | scheme, plan; plan; be without
锄 | chú | hoe; eradicate
閤 | gé | small side door; chamber
屹 | yì | to rise high; to stand erect
哽 | gěng | choke (with grief)
蜿 | wān | creep, crawl
逄 | páng | a surname
姗 | shān | slander; ridicule; proceed slowly
獗 | jué | unruly, wild, violent, lawless
帑 | tǎng | a treasury; public funds
蹶 | jué | stumble, fall down; trample
桧 | kuài | Chinese cypress, Chinese juniper
鼾 | hān | snore loudly
陲 | chuí | frontier, border
窿 | lóng | mine shaft; cavity, hole
箇 | gè | numerary adjunct, piece; single
呆 | ái | dull; dull-minded, simple, stupid
蝌 | kē | tadpole
砺 | lì | whetstone; sharpen
蛟 | jiāo | scaly dragon with four legs
桢 | zhēn | hardwood; supports, posts
匝 | zā | full circle; encircle
夯 | hāng | heavy load, burden; lift up
乓 | pang | used with ping for ping pong
偬 | zǒng | urgent
谏 | jiàn | remonstrate, admonish
弭 | mǐ | stop, desist, end, quell
俸 | fèng | wages, salary, official emolument
烨 | yè | bright, glorious, splendid, flame
弼 | bì | aid, assist, help; correct
磺 | huáng | sulphur; brimstone
捆 | kǔn | tie up; bind, truss up; bundle
磐 | pán | large rock, boulder; firm
荏 | rěn | beans; soft, pliable; herb
咤 | zhà | shout, roar, bellow; scold
崁 | kǎn | a place in Taiwan Tainan
泱 | yāng | great, expansive; agitated
谑 | nvè | jeer
洼 | wā | hollow; pit; depression; swamp
嵌 | qiàn | inlay, set in; fall into; rugged
栓 | shuān | wooden peg, post or stick
踵 | zhǒng | heel; follow; visit, call on
鞦 | qiū | leather stap; swing
酯 | zhǐ | 
钾 | jiǎ | potassium kalium
茸 | róng | soft, downy; buds, sprouts
弛 | chí | loosen, relax, unstring a bow
药 | yào | orris root; leaf of the iris; medicine
萏 | dàn | 
滢 | yìng | clear, pure water; lucid; glossy
玠 | jiè | large jade tablet used by officials at court to indicate their ranks
鹬 | yù | snipe, kingfisher; Tringa species (various)
钲 | zhēng | kind of gong used in ancient times by troops on the march
跻 | jī | ascend, go up, rise
嬷 | mā | mother
蚪 | dǒu | tadpole
鳅 | qiū | loach
燊 | shēn | luxuriant
捱 | ái | put off, procrastinate; endure
狩 | shòu | winter hunting; imperial tour
骼 | gé | bone; skeleton; corpse
掬 | jú | to grasp or hold with both hands
酝 | yùn | liquor, spirits, wine; ferment
祀 | sì | to sacrifice, worship
琛 | chēn | treasure, valuables
獭 | tà | otter
箝 | qián | tweezers, pliers, tongs, pincers
菡 | hàn | buds, lotus buds
隹 | zhuī | bird; KangXi radical 172
邝 | kuàng | surname
楔 | xiè | wedge; gatepost; foreword
缱 | qiǎn | attached to, inseparable; entangled
诒 | yí | bequeath, pass on to future generations
婶 | shěn | wife of father's younger brother
擘 | bò | thumb; break, tear open, rip
愠 | yùn | angry, indignant, resentful
釆 | biàn | distinguish; KangXi radical 165
稔 | rěn | ripe grain; harvest; to know, be familiar with
槭 | cù | maple
摃 | káng | 
帷 | wéi | tent; curtain, screen
黉 | héng | school
镰 | lián | sickle
鼹 | yǎn | a kind of insectivorous rodent
芎 | qiōng | a kind of herb
埤 | pí | add, increase, attach; low fence
邢 | xíng | surname; state in today's Hebei
呓 | yì | talk in one's sleep, somniloquy
缥 | piǎo | light blue silk; dim; misty
骛 | wù | gallop; rush about; pursue, run
铀 | yóu | uranium
偃 | yǎn | cease, lay off, lay down
闾 | lǘ | village of twenty-five families
恫 | tōng | in pain, sorrowful
瞿 | qū | surname
蟒 | mǎng | python, boa constrictor
淦 | gàn | river in Jiangxi province; water leaking into a boat
湮 | yīn | bury, sink, block up; stain
涤 | dí | wash, cleanse, purify; sweep
琥 | hǔ | jewel in shape of tiger; amber
轧 | yà | crush by weight; grind
槙 | diān | a twig; an ornamental evergreen
忝 | tiǎn | disgraced; ashamed; self-deprecating
崧 | sōng | high mountain; lofty, eminent
诌 | zōu | play with words, quip; talk nonse
飒 | sà | the sound of the wind; bleak; melancholy
喋 | dié | nag; chatter, babble, twitter

















































































































































































































































































































































































































































































































































































































































































































































































































































































