
疵 | cī | flaw, fault, defect; disease
裘 | qiú | fur garments; surname
塌 | tā | fall in ruins, collapse
饵 | ěr | bait; bait, entice; dumplings
偎 | wēi | cling to, cuddle, embrace, fondle
泻 | xiè | drain off, leak; flow, pour down
蔓 | màn | creeping plants, tendrils, vines
彗 | huì | broomstick; comet
樽 | zūn | goblet; jar, jug; lush
衔 | xián | bit; hold in mouth, bite; gag
茍 | jì | to be circumspect, cautious in ones behaviour (distinguish DKW 30790 gou3)
磋 | cuō | polish, buff; scrutinize
萎 | wēi | wither, wilt
廓 | kuò | broad, wide, open, empty; to expand
悯 | mǐn | pity, sympathize with, grieve for
铸 | zhù | melt, cast; coin, mint
茎 | jīng | stem, stalk
歼 | jiān | annihilate, wipe out, kill off
壤 | rǎng | soil, loam, earth; rich
浇 | jiāo | spray, water, sprinkle
蚤 | zǎo | flea; louse
恃 | shì | rely on, presume on, trust to
瞻 | zhān | look; look out for; respect
拚 | pàn | risk, disregard; go all out for
汀 | tīng | sandbar, beach, bank, shore
椒 | jiāo | pepper, spices
嚼 | jiáo | prattle, be glib
粥 | zhōu | rice gruel, congee
磅 | bàng | pound; weigh
佫 | hè | 
勘 | kān | investigate; compare; collate
脖 | bó | neck
吨 | dūn | metric ton
澜 | lán | overflowing; waves, ripples
锻 | duàn | forge metal; temper, refine
笙 | shēng | small gourd-shaped musical instrument
厄 | è | adversity, difficulty, distress
嚷 | rǎng | shout, brawl, make uproar, cry
伽 | jiā | transcription of sanskrit 'gha' in buddhist texts ('samgha', etc.); (nursing; attending; entertainer) (Jap.); tample; in Chinese this character is not used alone
徽 | huī | a badge, insignia
隅 | yú | corner, nook, remote place
寥 | liáo | few, scarce; empty, deserted
缤 | bīn | flourishing, thriving, abundant
帘 | lián | a blind, screen, curtain
烘 | hōng | bake, roast; dry by fire
茜 | qiàn | madder, rubia cordifolia; reeds
驯 | xún | tame, docile, obedient
噎 | yē | choke; hiccup
厦 | shà | big building, mansion
闰 | rùn | intercalary; extra, surplus
煤 | méi | coal, coke, charcoal, carbon
链 | liàn | chain, wire, cable; chain, shack
锈 | xiù | rust, corrode
诫 | jiè | warn, admonish; warning
颊 | jiá | cheeks, jaw
俐 | lì | smooth; active; clever, sharp
曳 | yì | trail, tow, drag, pull
蓓 | bèi | bud
暧 | ài | obscure, dim, ambiguous, vague
郤 | xì | crack, opening; surname
淌 | tǎng | trickle; flow down; drip
喀 | kè | vomit; used in transliterations
昆 | kūn | elder brother; descendants
蔑 | miè | disdain, disregard; slight
峙 | zhì | stand erect, stand up; pile up
躁 | zào | tense, excited, irritable
菇 | gū | mushrooms
逅 | hòu | meet unexpectedly
雇 | gù | employ, to hire
殴 | ōu | beat, fight with fists, hit; to strike, brawl
泌 | mì | to seep out, excrete
