
丫 | yā | forked; bifurcation
冉 | rǎn | tender; weak; proceed gradually
甸 | diàn | suburbs of capital; govern; crops
怔 | zhēng | a disease resembling neurosis
蠹 | dù | moth; insects which eat into clot
缀 | zhuì | patch together, link, connect
谄 | chǎn | flatter, truckle, toady
灼 | zhuó | burn; broil; cauterize; bright
紊 | wèn | confused, disorder
彤 | tóng | red, vermilion; name of ancient
荐 | jiàn | offer, present; recommend
诣 | yì | reach; achievement, accomplishment
眛 | mèi | dim, dark, obscure; blind
禀 | bǐng | report to, petition
馏 | liù | distill, distillation
蒜 | suàn | garlic
窑 | yáo | kiln; coal mine pit
讦 | jié | expose other's secrets, pry
机 | jī | machine; moment, chance
炯 | jiǒng | bright, brilliant, clear; hot
颐 | yí | cheeks; jaw; chin; rear; to nourish
缪 | móu | wind around, bind; prepare
扉 | fēi | door panel
嵩 | sōng | high, lofty; one of the 5 peaks, situated in Hunan
缅 | miǎn | distant, remote; think of
朕 | zhèn | pronoun 'I'
蟋 | xī | cricket
濒 | bīn | approach, be on verge of; near
剔 | tī | pick out; scrape off; scrape meat
局 | jú | bureau, office; circumstance
钍 | tǔ | thorium
肋 | lè | ribs; chest
噩 | è | bad, ill-omened, unlucky
佢 | qú | he (Cant.)
揖 | yī | salute, bow; defer to, yield
圳 | zhèn | furrow in field, small drainage
芜 | wú | luxurious growth of weeds
亵 | xiè | dirty, ragged; slight, insult, treat with disrespect
崭 | zhǎn | high, steep, precipitous; new
踅 | chì | 
蜻 | qīng | dragonfly
坞 | wù | entrenchment, bank, low wall
绫 | líng | thin silk, damask silk
冶 | yě | smelt, fuse metals; cast, found
惦 | diàn | think of, remember, miss
梧 | wú | Sterculia platanifolia
罣 | guà | hinder, disturb, obstruct
殆 | dài | dangerous, perilous; endanger
兀 | wù | to cut off the feet
讼 | sòng | accuse; argue, dispute; litigate
臼 | jiù | mortar; bone joint socket
踮 | diǎn | tip toe
炙 | zhì | roast, broil; toast; cauterize
雌 | cí | female; feminine; gentle, soft
啧 | zé | interjection of approval or admiration
褒 | bāo | praise, commend, honor, cite
竺 | zhú | India; bamboo; surname
匈 | xiōng | breast, chest, thorax; clamor; the Hsiung Nu 'Huns'
葳 | wēi | luxuriant, flourishing; used for various plants
旱 | hàn | drought; dry; dry land
骰 | tóu | die, dice
阉 | yān | castrate; eunuch
甭 | béng | there is no need
欣 | xīn | happy, joyous, delighted
霏 | fēi | falling of snow and rain
酪 | luò | cream, cheese; koumiss
雍 | yōng | harmony, union; harmonious
饪 | rèn | cooked food; cook until well done
勋 | xūn | meritorious deed; merits; rank
煦 | xǔ | kind, gentle, gracious, genial
漓 | lí | short name for Guangxi province
娴 | xián | elegant, refined; skillful
揪 | jiū | grasp with hand, pinch
囝 | jiǎn | baby, infant
婵 | chán | beautiful, lovely, pretty, graceful
佼 | jiǎo | beautiful, handsome, good-looking
玟 | wén | streaks in jade; gem
荤 | hūn | meat diet; strong smelling
俘 | fú | prisoner of war; take as prisoner
癖 | pǐ | craving, weakness for; indigestion
瞋 | chēn | glare with anger
咄 | duō | noise of rage, cry out in anger
幢 | chuáng | carriage curtain; sun screen
迂 | yū | doctrinaire, abstruse, unrealistic
蓊 | wěng | luxuriant vegetation; lush
疹 | zhěn | measles; rash; fever
儸 | luó | bandit, daredevil
桔 | jié | Chinese bellflower; well-swept; the inner fibers of corn-stalks
讹 | é | swindle, cheat; erroneous, wrong
籐 | téng | climbing plants, vines, cane
眯 | mǐ | be blinded
猖 | chāng | mad, wild, reckless, unruly
泄 | xiè | leak; vent; flow; reveal
凿 | záo | chisel; bore, pierce
咻 | xiū | shout
晏 | yàn | peaceful, quiet; clear; late in the day
诬 | wú | make false accusation; defame
漪 | yī | ripples on water; swirling
辫 | biàn | braid; pigtail, plait, queue
蔺 | lìn | rush used in making mats; surname
症 | zhēng | obstruction of bowels
妾 | qiè | concubine
琇 | xiù | coarse variety of jasper or jade
蜓 | tíng | dragonfly
烽 | fēng | signal fire; tower where signal
舔 | tiǎn | lick with tongue; taste
娣 | dì | younger sister, sister-in-law
汶 | wèn | a river in Shandong province
诏 | zhào | decree, proclaim; imperial decree
侈 | chǐ | luxurious, extravagant
膺 | yīng | breast, chest; undertake, bear
渚 | zhǔ | small sand bank, islet
槌 | chuí | hammer, mallet; strike, beat
鞘 | qiào | scabbard, sheath
噬 | shì | bite; gnaw; snap at
咐 | fù | instruct, order
璀 | cuǐ | lustre of gems; glitter; shine
肪 | fáng | animal fat
羚 | líng | species of antelope
羿 | yì | legendary archer
葫 | hú | bottle-gourd
箔 | bó | reed screen; frame for growing silkworms
庇 | bì | cover, shield, shelter, protect
俪 | lì | spouse, couple, pair
嘱 | zhǔ | order, tell, instruct, leave word
颅 | lú | skull
玺 | xǐ | imperial signet, royal signet
褐 | hé | coarse woolen cloth; dull, dark
擂 | léi | rub, grind; grind with a mortar and pestle; triturate
遑 | huáng | leisure, leisurely; hurry about
萦 | yíng | entangle, entwine, coil
罹 | lí | sorrow, grief; incur, meet with
粘 | nián | viscous, mucous; glutinous
栗 | lì | shiver, shudder, tremble; tremble
钊 | zhāo | endeavor, strive; encourage; cut
彪 | biāo | tiger; tiger stripes; tiger-like
瘀 | yū | a hematoma, contusion; extravasted blood
蛾 | é | moth
馁 | něi | hungry, starving, famished
洹 | huán | river in Henan province
谕 | yù | proclaim, instruct; edict
胚 | pēi | embryo; unfinished things
卉 | huì | general term for plants; myriads
拇 | mǔ | thumb; big toe
炽 | chì | burning-hot, intense; to burn, blaze; splendid, illustrious
睦 | mù | friendly, amiable, peaceful
鲨 | shā | shark
碴 | chá | chipped edge of a container
辟 | pì | law, rule; open up, develop
漱 | shù | gargle, rinse; wash, scour
窒 | zhì | stop up, obstruct
惺 | xīng | intelligent, clever, astute
谲 | jué | cunning, crafty, sly, wily
勦 | jiǎo | destroy, exterminate, annihilate
迺 | nǎi | then, thereupon, only then
臀 | tún | buttocks
痪 | huàn | paralysis, numbness of limbs
褔 | fù | 
渠 | qú | ditch, canal, channel, gutter
弋 | yì | catch, arrest; shoot with bow
咸 | xián | salty, briny; salted; pickled
狸 | lí | fox
吽 | óu | OM'; bellow; (Cant.) dull, stupid
痔 | zhì | hemorrhoids, piles
霭 | ǎi | cloudy sky, haze; calm, peaceful
轼 | shì | horizontal wooden bar in front of a sedan chair
姥 | mǔ | maternal grandmother; midwife
璁 | cōng | 
钙 | gài | calcium
漾 | yàng | overflow; swirl, ripple; to be tosssed by waves
跛 | bǒ | lame
翎 | líng | feather; plume; wing
磷 | lìn | phosphorus; water rushing between
嗳 | ài | interjection; exclamation
吩 | fēn | order, command, instruct
敕 | chì | an imperial order or decree
氮 | dàn | xenon
鲍 | bào | abalone; dried fish; surname
俟 | sì | wait for, wait until, as soon as
婿 | xù | son-in-law; husband
尪 | wāng | lame
谚 | yàn | proverb, maxim
恺 | kǎi | enjoy, be contented, joyful
裴 | péi | surname; look of a flowing gown
汞 | gǒng | element mercury
剿 | jiǎo | destroy, exterminate, annihilate
瞥 | piē | take fleeting glance at
氯 | lǖ | chlorine
桨 | jiǎng | oar, paddle
仝 | tóng | together, same; surname
瀛 | yíng | sea, ocean
骸 | hái | skeleton, body; leg bone
钳 | qián | pincers, pliers, tongs
镕 | róng | fuse, melt, smelt; mold
靓 | jìng | make up face; ornament; quiet; (Cant.) pretty
漩 | xuán | eddy, whirlpool
攘 | ráng | seize, take by force; repel
垣 | yuán | low wall
荻 | dí | reed, miscanthus sacchariflorus
咯 | gē | final particle
篑 | kuì | a bamboo basket for carrying earth
茗 | mǐng | tea; tea plant
桓 | huán | variety of tree; surname
浒 | hǔ | riverbank, shore
桠 | yā | the forking branch of a tree
珀 | pò | amber
痠 | suān | aching of limbs, muscular pains
靴 | xuē | boots
咀 | jǔ | suck; chew, masticate
