
爹 | diē | father, daddy
梨 | lí | pear; opera; cut, slash
喽 | lou | used in onomatopoetic expressions
侍 | shì | serve, attend upon; attendant, servant; samurai
疫 | yì | epidemic, plague, pestilence
雕 | diāo | engrave, inlay, carve; exhaust; used for U+9D70 鵰 an eagle, vulture
黯 | àn | dark, black; sullen, dreary
并 | bìng | combine, annex
铝 | lǚ | aluminum
弗 | fú | not, negative
爪 | zhuǎ | claw, nail, talon; animal feet
鄙 | bǐ | mean; low
钗 | chāi | ornamental hairpin
栽 | zāi | to cultivate, plant; to care for plants
狸 | lí | fox
谘 | zī | consult, confer; communicate in
柄 | bǐng | handle, lever, knob; authority
悸 | jì | fearful, apprehensive, perturbed
喉 | hóu | throat, gullet, larynx; guttural
擅 | shàn | monopolize; claim; arbitrarily; to dare
劈 | pī | cut apart, split, chop
秉 | bǐng | grasp, hold; bundle; authority
芷 | zhǐ | angelica, type of iris
裸 | luǒ | bare, nude; undress, strip
锵 | qiāng | tinkle, clang, jingle
贾 | jiǎ | surname; merchant; buy, trade
逗 | dòu | tempt, allure, arouse, stir
寓 | yù | residence; lodge; dwell
咚 | dōng | used as description of sound
璞 | pú | unpolished gem, uncarved gem
烫 | tàng | scald, heat; wash; iron clothes
铅 | qiān | lead plumbum
啸 | xiào | roar, howl, scream; whistle
炳 | bǐng | bright, luminous; glorious
屿 | yǔ | island
竖 | shù | vertical; perpendicular; upright
惶 | huáng | fearful, afraid, anxious, nervous
仕 | shì | official; serve government
挪 | nuó | move, shift on one side
栅 | zhà | fence; palisade; grid
迄 | qì | extend, reach; until; till
顷 | qǐng | a moment; a measure of area equal to 100 mu or 6.7 hectares; to lean
窄 | zhǎi | narrow, tight; narrow-minded
鸥 | ōu | seagull, tern; Larus species (various)
鲢 | lián | silver carp, hypophthalmiathys
郊 | jiāo | suburbs; waste land, open spaces
倩 | qiàn | beautiful, lovely; son-in-law
兜 | dōu | pouch
茧 | jiǎn | cocoon; callus, blister
磊 | lěi | pile of rocks or stones; great
抒 | shū | express; eliminate; relieve
夷 | yí | ancient barbarian tribes
绰 | chuò | graceful, delicate; spacious
溯 | sù | go upstream, go against current; formerly
拙 | zhuó | stupid, clumsy, crude; convention
僚 | liáo | companion, colleague; officials; bureaucracy; a pretty face
芙 | fú | hibiscus
杖 | zhàng | cane, walking stick
溃 | kuì | flooding river; militarily defeat
凶 | xiōng | culprit; murder; bad, sad
鸽 | gē | pigeon, dove; Columba species (various)
妒 | dù | jealous, envious
沌 | dùn | chaotic, confused; turbid, murky
祺 | qí | good luck, good fortune
呐 | nè | raise voice, yell out loud, shout; stammer
卦 | guà | fortune telling; tell fortunes
聆 | líng | listen, hear
栖 | qī | perch; roost; stay
蝇 | yíng | flies
佮 | gé | (Cant.) intensive particle
唾 | tuò | spit, spit on; saliva
汇 | huì | collect, compile, assemble; hedgehog
楣 | méi | crossbeam above or under gate
匠 | jiàng | craftsman, artisan; workman
蛛 | zhū | spider
悼 | dào | grieve, mourn, lament; grieved
舜 | shùn | legendary ruler
耿 | gěng | bright, shining; have guts
瞄 | miáo | take aim at; look at
芋 | yù | taro
瞒 | mán | deceive, lie; eyes half-closed
竭 | jié | put forth great effort; exhaust
茵 | yīn | a cushion, mattress; wormwood; Skimmia japon
吼 | hǒu | roar, shout; bark, howl
苛 | kē | small, petty; harsh, rigorous
浸 | jìn | soak, immerse, dip, percolate
拯 | zhěng | help, save, aid; lift, raise
克 | kè | subdue, overcome; cut down
豆 | dòu | beans, peas; bean-shaped
沛 | pèi | abundant, full, copious; sudden
掠 | lvè | rob, ransack, plunder; pass by
廊 | láng | corridor, porch, veranda
凸 | tū | protrude, bulge out, convex
搅 | jiǎo | disturb, agitate, stir up
俺 | ǎn | personal pronoun, I
酌 | zhuó | serve wine; feast; deliberate
倡 | chàng | guide, leader; lead, introduce
朦 | méng | condition or appearance of moon
蕉 | jiāo | banana; plantain
暱 | nì | intimate, close; approach
焕 | huàn | shining, brilliant, lustrous
掏 | tāo | take out; pull out; clean out
蝉 | chán | cicada; continuous
焰 | yàn | flame, blaze; glowing, blazing
狄 | dí | tribe from northern china; surnam
绳 | shéng | rope, string, cord; measure, restrain
惰 | duò | indolent, careless, lazy, idle
芽 | yá | bud, sprout, shoot
裹 | guǒ | wrap, bind; encircle, confine
宛 | wǎn | seem, as if, crooked
御 | yù | defend, resist, hold out against
赎 | shú | buy, redeem; ransome; atone for
燥 | zào | dry, parched, arid; quick-tempered
滔 | tāo | overflow; rushing water, a torrent
贬 | biǎn | decrease, lower; censure, criticize
悍 | hàn | courageous, brave; violent
袂 | mèi | sleeves
坟 | fén | grave, mound; bulge; bulging
颉 | jié | fly upward, soar; contest; to rob
啤 | pí | beer
押 | yā | mortgage, pledge; deposit; to pawn; to arrest, detain, guard
尴 | gān | embarrassed; ill at ease
颤 | zhàn | shiver, tremble; trembling
钝 | dùn | blunt, obtuse; dull; flat; dull-witted
腥 | xīng | raw meat; rank, strong-smelling
缔 | dì | tie, join, connect; connection
粮 | liáng | food, grain, provisions
哑 | yǎ | dumb, mute; become hoarse
槟 | bīn | betelnut, areca nut
簿 | bó | register, account book, notebook
斧 | fǔ | axe, hatchet; chop, hew
肿 | zhǒng | swell; swollen; swelling
纶 | lún | green silk thread or tassel
僵 | jiāng | stiff and motionless, stock still
齣 | chū | act; stanza; time, occasion
辖 | xiá | linchpin of wheel; control
蹲 | dūn | squat, crouch; idle about
敷 | fū | spread, diffuse; apply, paint
喘 | chuǎn | pant, gasp, breathe heavily
扎 | zhā | pull up; pierce; struggle free
酿 | niàng | brew, ferment
佑 | yòu | help, protect, bless
肖 | xiào | look like, resemble, be like
愈 | yù | more and more, even more
隧 | suì | tunnel, underground passageway, path to a tomb
嗜 | shì | be fond of, have weakness for
檬 | méng | type of locust oracacia
迳 | jìng | pass by, approach; direct
碌 | lù | rough, uneven, rocky; mediocre
襟 | jīn | lapel, collar
凋 | diāo | be withered, fallen; exhausted
圭 | guī | jade pointed at top
寇 | kòu | bandits, thieves; enemy; invade
污 | wū | filthy, dirty, impure, polluted
哨 | shào | whistle, blow whistle; chirp
倪 | ní | feeble, tiny, young and weak
筠 | yún | bamboo skin; bamboo
桦 | huà | type of birch
诈 | zhà | cheat, defraud, swindle; trick; to feign
姜 | jiāng | surname; ginger
旬 | xún | ten-day period; period of time
秃 | tū | bald, bare, stripped
脂 | zhī | fat, grease, lard; grease
噢 | yǔ | moan; interjection for pain, sad
撼 | hàn | move, shake; (Cant.) to fight
衅 | xìn | smear with blood in sacrifice; rift, quarrel
庚 | gēng | 7th heavenly stem
炫 | xuàn | shine, glitter; show off, flaunt
谭 | tán | surname; to talk
惭 | cán | ashamed, humiliated; shameful
涩 | sè | astringent; harsh; uneven, rough
崔 | cuī | high, lofty, towering; surname
贷 | dài | lend; borrow; pardon
胡 | hú | beard, mustache, whiskers
晒 | shài | dry in sun, expose to sun
琉 | liú | sparkling stone; glazed, opaque
捏 | niē | pick with fingers; knead; mold
绮 | qǐ | fine thin silk; elegant, beautifu
膝 | xī | knee
拭 | shì | wipe away stains with cloth
暗 | àn | dark; obscure; in secret, covert
醋 | cù | vinegar; jealousy, envy
膨 | péng | to swell; swollen, bloated, inflated
杠 | gāng | lever, pole, crowbar; sharpen
鑫 | xīn | used in names
瀑 | pù | waterfall, cascade; heavy rain
喃 | nán | keep talking, chattering; mumble
剖 | pōu | split in two, slice; dissect
袜 | wà | socks, stockings
